protocol,seed,originated,delivered,resolved,completion_rate,satellite,dropped_loop,dropped_ttl,blocked,stall_no_belief,belief_hops_mean,delivered_hops_mean,gossip_redundant_share,mpr_share,delivered_per_orig
reactive+ring,18,2387,763,1688,0.45201421800947866,902,23,0,108,33443,4.575718015665796,3.1730013106159896,,,0.3196480938416422
reactive+ring,19,2378,712,1650,0.4315151515151515,915,23,0,95,34088,4.747172982885085,3.4058988764044944,,,0.2994112699747687
reactive+overhear+ring,0,2377,1231,1844,0.6675704989154013,462,151,0,181,17018,4.432977967306326,2.960194963444354,,,0.5178796802692469
reactive+overhear+ring,1,2384,963,1798,0.53559510567297,643,192,0,221,19032,4.959130596321754,3.0207684319833854,,,0.4039429530201342
reactive+overhear+ring,2,2380,866,1757,0.4928856004553216,686,205,0,251,21035,5.355565507975333,2.8822170900692843,,,0.3638655462184874
reactive+overhear+ring,3,2372,910,1743,0.5220883534136547,692,141,0,91,21854,4.851558297170318,3.0043956043956044,,,0.3836424957841484
reactive+overhear+ring,4,2376,973,1771,0.549407114624506,601,197,0,524,17110,4.972397845685517,3.013360739979445,,,0.4095117845117845
reactive+overhear+ring,5,2380,847,1755,0.4826210826210826,723,185,0,289,22788,5.12214447417164,2.8665879574970483,,,0.3558823529411765
reactive+overhear+ring,6,2384,962,1778,0.5410573678290214,629,187,0,320,19369,4.941589314014037,3.029106029106029,,,0.4035234899328859
reactive+overhear+ring,7,2384,720,1740,0.41379310344827586,848,172,0,184,26539,5.516854868952873,3.126388888888889,,,0.30201342281879195
reactive+overhear+ring,8,2381,793,1679,0.4723049434187016,723,163,0,327,20930,5.221844238563984,3.112232030264817,,,0.3330533389332213
reactive+overhear+ring,9,2375,963,1801,0.5347029428095502,644,194,0,279,19956,4.834051724137931,3.0446521287642785,,,0.4054736842105263
reactive+overhear+ring,10,2388,962,1814,0.5303197353914002,679,173,0,184,22288,4.927843655457802,3.1943866943866945,,,0.4028475711892797
reactive+overhear+ring,11,2389,744,1671,0.4452423698384201,752,175,0,256,24628,5.039425416071359,3.0631720430107525,,,0.3114273754709083
reactive+overhear+ring,12,2381,768,1779,0.4317032040472175,752,259,0,519,22603,5.7134350576851505,3.1458333333333335,,,0.32255354892902144
reactive+overhear+ring,13,2382,946,1784,0.5302690582959642,669,169,0,362,19640,5.09100395256917,3.007399577167019,,,0.3971452560873216
reactive+overhear+ring,14,2378,1010,1821,0.5546403075233388,660,151,0,248,20839,4.7331536388140165,2.9316831683168316,,,0.4247266610597141
reactive+overhear+ring,15,2386,826,1744,0.4736238532110092,752,166,0,443,22734,5.155636186023794,3.095641646489104,,,0.3461860854987427
reactive+overhear+ring,16,2382,947,1772,0.5344243792325056,663,162,0,603,19340,4.9564649807219405,3.1098204857444562,,,0.3975650713685978
reactive+overhear+ring,17,2388,850,1759,0.4832291074474133,722,187,0,233,22216,5.054376517791152,3.0647058823529414,,,0.3559463986599665
reactive+overhear+ring,18,2387,801,1754,0.4566704675028506,762,191,0,388,21904,5.442654061141398,3.024968789013733,,,0.3355676581483033
reactive+overhear+ring,19,2378,703,1752,0.4012557077625571,784,265,0,300,22692,5.865694969467868,3.2147937411095304,,,0.2956265769554247
