protocol,n,seed,originated,delivered,resolved,unresolved,unresolved_share,completion_rate,delivered_per_originated,stall_rate,delivered_per_slot_used,ceiling_utilisation,delivery_latency_mean,delivery_latency_p95,ack_latency_mean,first_hop_latency_mean,satellite,dropped_loop,dropped_ttl,blocked,stall_no_belief,belief_hops_mean,delivered_hops_mean,gossip_redundant_share,mpr_share
linkstate-mpr,800,4,1584,275,1062,522,0.32954545454545453,0.2589453860640301,0.1736111111111111,0.9708588475427854,0.2963362068965517,0.05725349766822119,18.87272727272727,60,28.44621513944223,12.54054054054054,785,2,0,0,30917,3.074716750025518,2.349090909090909,0.3215290221769858,0.5159222473684416
linkstate-mpr,1200,4,2377,929,1751,626,0.26335717290702565,0.5305539691604797,0.39082877576777453,0.9108706291804883,0.2834045149481391,0.11960552065094242,30.904198062432723,100,42.911989795918366,15.848730964467006,820,2,0,17,33483,3.251837426974056,2.5565123789020454,0.35301210319385085,0.4747261322567099
linkstate-mpr,1600,4,3174,1240,2351,823,0.259294265910523,0.5274351339855381,0.3906742281033396,0.913487974258192,0.2919020715630885,0.11689291101055807,33.47741935483871,110,40.568060021436224,17.335843373493976,1109,2,0,233,44622,3.137090944141886,2.443548387096774,0.3719914304251026,0.43197003292841935
linkstate-mpr,2000,4,3967,1770,3007,960,0.24199647088479959,0.5886265380778184,0.44618099319384924,0.8912203594087832,0.2883675464320626,0.12181357705224907,34.828813559322036,115,43.78004535147392,18.2796697626419,1237,0,0,615,49673,3.1761587670358797,2.440677966101695,0.3829497096651911,0.39172319582101894
linkstate-mpr,3000,4,5951,2782,4561,1390,0.23357418921189715,0.6099539574654681,0.46748445639388336,0.8838981880281779,0.3008868699978369,0.1457460184409053,33.85873472322071,115,43.60750670241287,18.161856963613552,1779,0,0,1163,69228,3.148013012567609,2.3429187634795112,0.39870046099559064,0.3248981584183699
linkstate-mpr,100,5,199,16,125,74,0.37185929648241206,0.128,0.08040201005025126,0.994795363141708,0.7272727272727273,0.01,5.5,10,7.5625,4.666666666666667,109,0,0,0,4205,1.3773291925465838,0.375,0.023997370151216304,0.1796
linkstate-mpr,200,5,395,31,252,143,0.3620253164556962,0.12301587301587301,0.07848101265822785,0.993284771226952,0.5254237288135594,0.012109374999999999,8.35483870967742,25,11.838709677419354,5.375,221,0,0,0,8727,1.8250798722044728,0.8709677419354839,0.11980631052796001,0.309136109384711
linkstate-mpr,400,5,792,120,527,265,0.3345959595959596,0.22770398481973433,0.15151515151515152,0.9753682685341705,0.29411764705882354,0.039735099337748346,19.633333333333333,60,26.872549019607842,9.914285714285715,407,0,0,0,16156,3.1699406121516676,2.3916666666666666,0.2405658280030235,0.45727976725281305
linkstate-mpr,600,5,1191,261,831,360,0.3022670025188917,0.3140794223826715,0.21914357682619648,0.9598412629944356,0.280343716433942,0.054014900662251654,27.160919540229884,95,35.08571428571429,15.178137651821862,570,0,0,0,22252,3.1399791594303577,2.4559386973180075,0.2966261509758465,0.46394116320445034
linkstate-mpr,800,5,1588,419,1111,477,0.30037783375314864,0.3771377137713771,0.26385390428211586,0.948353267761061,0.2780358327803583,0.06261207411835028,26.966587112171837,85,37.38035264483627,16.369829683698295,691,1,0,0,27672,3.1727060817969908,2.5178997613365155,0.3321135404985853,0.48510588613044936
linkstate-mpr,1200,5,2381,853,1749,632,0.26543469130617386,0.48770726129216696,0.3582528349433011,0.9232238251309711,0.28672268907563025,0.09223615916955018,25.730363423212193,85,37.72931276297335,14.870967741935484,891,5,0,2,35772,3.2040176211453746,2.536928487690504,0.35521918074640507,0.45406186432469087
linkstate-mpr,1600,5,3184,1181,2325,859,0.269786432160804,0.5079569892473118,0.3709170854271357,0.9181645125738904,0.289177277179236,0.09558728308728309,30.864521591871295,100,42.742553191489364,16.43027888446215,1144,0,0,134,45687,3.1737557009716437,2.489415749364945,0.37411012239263536,0.42831230738146675
linkstate-mpr,2000,5,3972,1683,2963,1009,0.2540281973816717,0.5680053999325009,0.42371601208459214,0.895712934748345,0.2826196473551637,0.10838485316846985,35.963161021984554,110,44.73684210526316,16.672451193058567,1279,1,0,413,50734,3.2184954399637213,2.4824717765894238,0.38468413077851016,0.3898224268332785
linkstate-mpr,3000,5,5963,2723,4514,1449,0.2429984906926044,0.6032343819229065,0.45664933758175413,0.8837393369096825,0.29425113464447805,0.12499081962397181,33.35328681601175,120,42.996541786743514,16.810478654592497,1788,3,0,1446,68897,3.202156734596875,2.371648916636063,0.3984573955740867,0.3254087305555688
linkstate-mpr,100,6,198,0,122,76,0.3838383838383838,0,0,1,0,0,0,0,0,0,122,0,0,0,4813,0,0,0.04128575641403716,0.18528203212551364
linkstate-mpr,200,6,397,6,247,150,0.3778337531486146,0.024291497975708502,0.015113350125944584,0.99914693964598,0.75,0.009375,6.166666666666667,10,7.833333333333333,5.5,241,0,0,0,9370,1.3291139240506329,0.3333333333333333,0.17006927390682844,0.4018610255723658
linkstate-mpr,400,6,795,52,506,289,0.3635220125786163,0.10276679841897234,0.06540880503144654,0.9918482875742994,0.3611111111111111,0.019548872180451128,20.96153846153846,95,27.826923076923077,16.25,454,0,0,0,17521,2.2718700890518595,1.7692307692307692,0.2538926243216492,0.4811351376416217
linkstate-mpr,600,6,1195,151,791,404,0.33807531380753136,0.19089759797724398,0.12635983263598327,0.9792070973107846,0.2876190476190476,0.034850443131462336,22.350993377483444,80,31.37062937062937,12.3828125,640,0,0,0,24724,2.933424711180732,2.4834437086092715,0.29409605597779065,0.5129378502255288
linkstate-mpr,800,6,1594,411,1122,472,0.2961104140526976,0.3663101604278075,0.2578419071518193,0.9479391891891892,0.26670992861778064,0.07339285714285715,28.515815085158152,95,37.958333333333336,17.904761904761905,711,0,0,0,28059,3.2008232407187527,2.7712895377128954,0.32546628152690554,0.5231157738968888
linkstate-mpr,1200,6,2385,918,1781,604,0.25324947589098534,0.5154407636159462,0.3849056603773585,0.9108312611962247,0.2752623688155922,0.12531396745659057,31.20152505446623,100,43.25911949685535,17.143737166324435,859,4,0,36,34030,3.2663201039688095,2.6263616557734206,0.364137190838848,0.49988848744368614
linkstate-mpr,1600,6,3176,1394,2453,723,0.2276448362720403,0.5682837342030167,0.4389168765743073,0.8990755498884284,0.29353548115392714,0.1572653429602888,29.543758967001434,90,41.17490494296578,15.50447350309704,1059,0,0,21,42285,3.1868472730518613,2.5164992826398853,0.3779419772916937,0.46326673894365694
linkstate-mpr,2000,6,3975,1823,3068,907,0.22817610062893082,0.5941981747066493,0.45861635220125785,0.8923044270326677,0.2993923468549844,0.14730122818358113,33.91003839824465,110,44.946616541353386,18.13467492260062,1245,0,0,364,50086,3.1677200681163216,2.455842018650576,0.3898965491836125,0.41782479117025473
linkstate-mpr,3000,6,5961,2782,4586,1375,0.23066599563831572,0.6066288704753597,0.4667002180842141,0.8837039511947631,0.2960204298786976,0.1726320492454329,36.10603882099209,115,46.82137075013492,18.34719136781974,1803,1,0,1244,70169,3.1758782412175877,2.395039539899353,0.3983543684927245,0.3393851588757534
linkstate-mpr,100,7,197,0,129,68,0.34517766497461927,0,0,1,0,0,0,0,0,0,129,0,0,0,4761,0,0,0.07649609713790113,0.3012018641157714
linkstate-mpr,200,7,396,2,256,140,0.35353535353535354,0.0078125,0.005050505050505051,0.9997892518440463,1,0.009025270758122744,5,10,5,0,254,0,0,0,9488,1,0,0.16645001547508512,0.4244406196213425
linkstate-mpr,400,7,796,36,525,271,0.34045226130653267,0.06857142857142857,0.04522613065326633,0.9929998384578106,0.27692307692307694,0.056249999999999994,30.36111111111111,125,34.1764705882353,17.78787878787879,489,0,0,0,18441,3.0184534270650265,2.6944444444444446,0.2549704882602778,0.4539325500700067
linkstate-mpr,600,7,1193,139,809,384,0.32187761944677284,0.17181705809641531,0.1165129924559933,0.9808159956768441,0.2796780684104628,0.086875,20.73381294964029,75,33.20634920634921,13.311111111111112,670,0,0,0,25410,3.253350626891483,2.633093525179856,0.3011062921694262,0.5123339396946144
linkstate-mpr,800,7,1586,308,1110,476,0.30012610340479196,0.2774774774774775,0.19419924337957126,0.9668534080298786,0.2892018779342723,0.07790368271954674,28.73051948051948,100,38.01470588235294,15.845360824742269,802,0,0,0,31065,3.1247009880395216,2.616883116883117,0.32568163796433724,0.5375594833446635
linkstate-mpr,1200,7,2385,671,1708,677,0.28385744234800836,0.39285714285714285,0.2813417190775681,0.9442277328875267,0.2793505412156536,0.0948704897636014,25.833084947839048,90,34.984182776801404,15.086181277860327,1034,3,0,0,40666,3.224673611427012,2.6140089418777945,0.350502695877737,0.5001454916117473
linkstate-mpr,1600,7,3178,1185,2351,827,0.26022655758338575,0.5040408336877924,0.37287602265575837,0.9156488398750939,0.2776476101218369,0.13434155632142208,32.18396624472574,105,45.086446104589115,17.534117647058824,1166,0,0,99,46231,3.289247841530763,2.6202531645569622,0.3668674155676533,0.463528262977069
linkstate-mpr,2000,7,3969,1727,3022,947,0.23859914336104812,0.571475843812045,0.4351221970269589,0.897786280404482,0.28860294117647056,0.1471239691951203,34.34568616097278,115,44.30286599535244,18.50936329588015,1294,1,0,274,52286,3.2099947396107313,2.513607411696584,0.38109653414579214,0.4242494148325685
linkstate-mpr,3000,7,5964,2873,4607,1357,0.22753185781354796,0.6236162361623616,0.4817236753856472,0.8823418319169027,0.3074371321562333,0.15845614189904697,34.24260355029586,115,46.21117318435754,17.34823977164605,1734,0,0,1142,68938,3.1676180643111715,2.3846153846153846,0.39394606645324604,0.3397482835438076
linkstate-mpr,100,8,200,11,127,73,0.365,0.08661417322834646,0.055,0.996216336523481,0.6470588235294118,0.015260821309655937,14.727272727272727,95,17.454545454545453,4.833333333333333,116,0,0,0,4476,1.5748218527315914,0.5454545454545454,0.07529983300440261,0.1866879872076754
linkstate-mpr,200,8,400,21,249,151,0.3775,0.08433734939759036,0.0525,0.995712512693219,0.5526315789473685,0.018472906403940885,17.761904761904763,100,16.55,20.5,228,0,0,0,8825,1.8416988416988418,0.9047619047619048,0.11896378269617706,0.3199629565318053
linkstate-mpr,400,8,795,112,519,276,0.3471698113207547,0.21579961464354527,0.14088050314465408,0.9785779676533415,0.3190883190883191,0.04625041295011563,23.0625,100,32.81308411214953,15.584158415841584,407,0,0,0,16034,2.8623853211009176,2.1964285714285716,0.23994904391332184,0.4905125343147606
linkstate-mpr,600,8,1194,216,791,403,0.33752093802345057,0.27307206068268014,0.18090452261306533,0.9666936756364877,0.2765685019206146,0.07487520798668885,23.453703703703702,80,34.96585365853659,13.640552995391705,570,5,0,0,22668,3.341985549906342,2.5925925925925926,0.2920919831020946,0.5174973199227045
linkstate-mpr,800,8,1588,458,1123,465,0.29282115869017633,0.40783615316117544,0.2884130982367758,0.9421719232270196,0.2809815950920245,0.11904761904761904,27.436681222707424,85,38.63961813842482,15.825708061002178,665,0,0,0,26557,3.2240186339658834,2.631004366812227,0.32838518100709024,0.5078516188229125
linkstate-mpr,1200,8,2382,746,1670,712,0.2989084802686818,0.4467065868263473,0.3131821998320739,0.9347885742796558,0.28538638102524866,0.1742339312406577,27.847184986595174,90,41.61857379767827,16.115577889447238,920,4,0,0,37471,3.2107501772236353,2.579088471849866,0.3533501671215682,0.48238092575744485
linkstate-mpr,1600,8,3176,1348,2403,773,0.24338790931989923,0.5609654598418643,0.4244332493702771,0.9063928856076178,0.30203898722832173,0.1691257653317274,29.61646884272997,100,42.99512195121951,17.593617021276597,1055,0,0,30,43185,3.130013043993834,2.47106824925816,0.3715023806114697,0.44552848604070516
