seed,nBalloons,ackPolicy,towerContact,meshHop,rounds,meanDegree,groundedPct,believedGroundedPct,originated,delivered,satellite,acked,ackLost,droppedLoop,droppedTtl,blocked,completionRate,meanTowerAdjacent,deliveryCeilingPerRound,slotsWithBundle,stallNoBelief,stallStaleNextHop
6,1200,source-routed,1,4,800,5.9475,97.0833,97.1667,4759,2493,1432,1761,676,162,1,24528,0.609834,22.3100,4.4620,29442,2504,91
0,1200,source-routed,1,4,800,6.1308,96.3333,96.4167,4742,2882,1147,2280,544,129,9,19835,0.691625,29.6137,5.9227,27892,3033,92
12,1200,source-routed,1,4,800,6.2750,97.9167,98.0833,4753,2057,1779,1335,673,187,26,28468,0.508027,17.3375,3.4675,30788,2062,81
6,1200,source-routed,1,8,800,5.9475,97.0833,97.1667,4761,2525,1407,1781,675,167,6,40436,0.615104,22.3100,4.4620,29016,2504,89
0,1200,source-routed,1,8,800,6.1308,96.3333,96.4167,4739,2917,1110,2286,567,128,9,32908,0.700528,29.6137,5.9227,27563,3033,91
12,1200,source-routed,1,8,800,6.2750,97.9167,98.0833,4755,2110,1707,1334,727,186,48,47370,0.520859,17.3375,3.4675,30232,2074,82
6,1200,source-routed,4,1,800,5.9475,97.0833,97.1667,4760,2925,1070,1777,1086,192,0,3870,0.698591,22.3100,17.8480,32149,2504,99
0,1200,source-routed,4,1,800,6.1308,96.3333,96.4167,4744,3352,789,2166,1117,146,2,1962,0.781534,29.6137,23.6910,29296,3033,104
12,1200,source-routed,4,1,800,6.2750,97.9167,98.0833,4762,2281,1631,1320,914,191,1,5272,0.555799,17.3375,13.8700,34177,2062,78
6,1200,source-routed,4,2,800,5.9475,97.0833,97.1667,4761,3811,378,1803,1911,119,3,4176,0.884018,22.3100,17.8480,25888,2504,90
0,1200,source-routed,4,2,800,6.1308,96.3333,96.4167,4744,3843,410,2207,1551,118,9,3344,0.877397,29.6137,23.6910,24642,3033,86
