n,seed,meanDegree,groundedPct
600,29,3.111666666666667,19.666666666666668
600,30,3.263333333333333,12.333333333333334
600,31,3.171666666666667,45.833333333333336
600,32,3.0233333333333334,14.5
600,33,3.0316666666666667,30.333333333333332
600,34,3.08,19.333333333333332
800,0,4.095,61
800,1,4.16,78.5
800,2,4.1475,77.875
800,3,3.9625,34.25
800,4,4.0175,91.75
800,5,4.295,81.5
800,6,3.8675,80.625
800,7,3.8375,85
800,8,4.19375,83.625
800,9,4.44,86.125
800,10,4.22,93.375
800,11,3.99625,86.875
800,12,4.21625,79.25
800,13,4.22,53.5
800,14,4.21625,74.75
800,15,4.275,81.5
800,16,4.08875,85.375
800,17,4.255,74.5
800,18,3.98,75.875
800,19,4.1225,67.5
800,20,4.1275,40.375
800,21,4.02375,87.75
800,22,4.31875,51.875
800,23,4.3225,88.5
800,24,4.135,76.375
800,25,4.08375,79.875
800,26,4.32,80.25
800,27,4.43,84.5
800,28,3.955,82.625
800,29,4.13125,76.5
800,30,4.3325,78
800,31,4.21375,89.875
800,32,4.08625,78.125
800,33,4.19875,91.375
800,34,4.1675,72.375
1200,0,6.1875,97.75
1200,1,6.265,98.16666666666667
1200,2,6.428333333333334,97.58333333333333
1200,3,5.956666666666667,98.5
1200,4,6.3025,99
1200,5,6.465833333333333,99.5
1200,6,6.035833333333334,97.25
1200,7,5.869166666666667,99
1200,8,6.19,98.83333333333333
1200,9,6.453333333333333,98.16666666666667
1200,10,6.3,98.25
1200,11,6.1375,99
1200,12,6.320833333333334,98.16666666666667
1200,13,6.343333333333334,97.91666666666667
1200,14,6.285,98.25
1200,15,6.291666666666667,98.75
1200,16,6.226666666666667,98.08333333333333
1200,17,6.256666666666667,97.75
1200,18,5.888333333333334,96.41666666666667
1200,19,6.153333333333333,99.08333333333333
1200,20,6.09,98.66666666666667
1200,21,5.9558333333333335,97.25
1200,22,6.31,99.25
1200,23,6.364166666666667,99.08333333333333
1200,24,6.213333333333333,98.75
1200,25,6.120833333333334,98.08333333333333
1200,26,6.371666666666667,97.91666666666667
1200,27,6.401666666666666,97.5
1200,28,5.908333333333333,98.33333333333333
1200,29,5.9575,97.5
1200,30,6.2525,98.33333333333333
1200,31,6.265,97.83333333333333
1200,32,6.151666666666666,98.25
1200,33,6.219166666666666,98.91666666666667
1200,34,6.219166666666666,97.16666666666667
1600,0,8.09875,99.875
1600,1,8.190625,99.1875
1600,2,8.29375,99.6875
1600,3,8.14375,99.625
1600,4,8.464375,99.9375
1600,5,8.51125,99.6875
1600,6,7.9825,99.5
1600,7,7.7875,99.6875
1600,8,8.315,99.8125
1600,9,8.53,99.6875
1600,10,8.37125,99.8125
1600,11,8.13875,99.75
1600,12,8.316875,99.4375
1600,13,8.483125,99.75
1600,14,8.251875,99.875
1600,15,8.355625,99.5
1600,16,8.32,98.625
1600,17,8.330625,99.5625
1600,18,7.85875,99.3125
1600,19,8.16375,100
1600,20,8.1825,99.8125
1600,21,8.056875,99.4375
1600,22,8.17375,99.5
1600,23,8.45875,99.75
1600,24,8.2125,99.75
1600,25,8.228125,99.5
1600,26,8.460625,99.625
1600,27,8.49375,99.375
1600,28,7.985625,99.6875
1600,29,7.90125,99.3125
1600,30,8.275,99.75
1600,31,8.471875,99.6875
1600,32,8.189375,99.5625
1600,33,8.29,100
1600,34,8.340625,99.75
2000,0,10.149,99.9
2000,1,10.2725,99.8
2000,2,10.415,99.75
2000,3,10.149,99.8
2000,4,10.5845,99.9
2000,5,10.643,99.95
2000,6,10.184,99.9
2000,7,9.7635,99.95
2000,8,10.3705,99.95
2000,9,10.599,99.9
2000,10,10.3945,99.8
2000,11,10.272,99.95
2000,12,10.357,99.9
2000,13,10.418,99.95
2000,14,10.519,99.95
2000,15,10.474,99.8
2000,16,10.392,99.7
2000,17,10.36,99.75
2000,18,9.8435,99.9
2000,19,10.2415,99.95
2000,20,10.219,99.95
2000,21,10.073,99.8
2000,22,10.257,99.85
2000,23,10.4865,99.8
2000,24,10.3225,99.95
2000,25,10.312,99.85
2000,26,10.3825,99.9
2000,27,10.581,99.9
2000,28,10.0005,99.9
2000,29,9.9825,99.95
2000,30,10.394,99.95
2000,31,10.3975,99.8
2000,32,10.3105,99.9
2000,33,10.2975,99.9
2000,34,10.4755,99.8
3000,0,15.584666666666667,99.96666666666667
3000,1,15.327,99.93333333333334
3000,2,15.518,100
3000,3,15.295666666666667,100
3000,4,15.867333333333333,100
3000,5,15.664,100
3000,6,15.161,100
3000,7,14.999666666666666,100
3000,8,15.434666666666667,100
3000,9,15.638333333333334,100
3000,10,15.624,100
3000,11,15.436333333333334,100
3000,12,15.489,100
3000,13,15.404,100
3000,14,15.695333333333334,100
3000,15,15.786,100
3000,16,15.592,100
3000,17,15.366,100
3000,18,15.133,100
3000,19,15.48,100
3000,20,15.013333333333334,99.96666666666667
3000,21,15.357666666666667,100
3000,22,15.253666666666666,100
3000,23,15.533333333333333,100
3000,24,15.346,99.96666666666667
3000,25,15.694333333333333,100
3000,26,15.545333333333334,99.96666666666667
3000,27,15.750333333333334,100
3000,28,15.281,100
3000,29,15.309333333333333,100
3000,30,15.455,100
3000,31,15.606666666666667,100
3000,32,15.510666666666667,99.96666666666667
3000,33,15.454666666666666,100
3000,34,15.499666666666666,99.96666666666667
